acc. num.,Sequence_ID,Organism,country,Latitude,Longitude,host,collected_by,collection_date,sex
,GFS-2020-00574,Tetramesa sp. 7,"South Africa, Mondplaas, EC",-33.96302,24.95448,Hyparrhenia hirta,Guy Sutton,2020,
,GFS-2020-00576,Tetramesa sp. 7,"South Africa, Mondplaas, EC",-33.96302,24.95448,Hyparrhenia hirta,Guy Sutton,2020,
,GFS-2020-00595,Tetramesa sp. 5,"South Africa, Mondplaas, EC",-33.96302,24.95448,Eragrostis curvula,Guy Sutton,2020,M
,GFS-2020-00606,Tetramesa sp. 5,"South Africa, Mondplaas, EC",-33.96302,24.95448,Eragrostis curvula,Guy Sutton,2020,
,GFS_2020_00614,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, EC",-33.96861,25.59229,Eragrostis curvula,Guy Sutton,2020,
,GFS-2020-00626,Tetramesa sp. 7,"South Africa, Mondplaas, EC",-33.96302,24.95448,Hyparrhenia hirta,Guy Sutton,2020,
,GFS-2020-00638,Tetramesa sp. 5,"South Africa, Glen Muir, East London, EC",-32.87684,28.09499,Eragrostis curvula,Guy Sutton,2020,
,GFS-2020-00645,Tetramesa sp. 7,"South Africa, Mondplaas, EC",-33.96302,24.95448,Hyparrhenia hirta,Guy Sutton,2020,
,GFS-2020-00667,Tetramesa sp. 4,"South Africa, Mondplaas, EC",-33.96302,24.95448,Eragrostis curvula,Guy Sutton,2020,
,GFS-2020-00670,Tetramesa sp. 7,"South Africa, Mondplaas, EC",-33.96302,24.95448,Hyparrhenia hirta,Guy Sutton,2020,
,GFS-2020-00680,Tetramesa sp. 4,"South Africa, Mondplaas, EC",-33.96302,24.95448,Eragrostis curvula,Guy Sutton,2020,F
,GFS-2020-00702,Tetramesa sp. 7,"South Africa, Mondplaas, EC",-33.96302,24.95448,Hyparrhenia hirta,Guy Sutton,2020,
,GFS-2020-00720,Tetramesa sp. 7,"South Africa, Mondplaas, EC",-33.96302,24.95448,Hyparrhenia hirta,Guy Sutton,2020,
,GFS052,Tetramesa sp. 3,"South Africa, Mkuze, KZN",-27.62214,32.02467,Sporobolus pyramidalis,Guy Sutton,2017,
,GFS029,Tetramesa sp. 3,"South Africa, Nylsvlei, LMP",-24.576,28.64316,Sporobolus pyramidalis,Guy Sutton,2017,
,SPY-KZN-006,Eurytomidae sp.?,"South Africa, Westwood Mall, Durban, KZN",-29.82913,30.95911,Sporobolus pyramidalis,Guy Sutton,2017,
MT549841,SPY_KZN_060,Tetramesa sp. 1,"South Africa, Mkuze, KZN",-27.62214,32.02467,Sporobolus pyramidalis,Guy Sutton,2017,
,SPY_KZN_62,Eurytomidae sp.?,"South Africa, Westwood Mall, Durban, KZN",-29.82913,30.95911,Sporobolus pyramidalis,Guy Sutton,2018,
MT549842,SPY_KZN_064,Tetramesa sp. 1,"South Africa, Westwood Mall, Durban, KZN",-29.82913,30.95911,Sporobolus pyramidalis,Guy Sutton,2017,
,SPY_KZN_68,Eurytomidae sp.?,"South Africa, Westwood Mall, Durban, KZN",-29.82913,30.95911,Sporobolus pyramidalis,Guy Sutton,2017,
MT549843,SPY_KZN_071,Tetramesa sp. 2,"South Africa, Mkuze, KZN",-27.62214,32.02467,Sporobolus pyramidalis,Guy Sutton,2017,
,SPY_KZN_89,Eurytomidae sp.?,"South Africa, Mkuze, KZN",-27.62214,32.02467,Sporobolus pyramidalis,Guy Sutton,2017,
,SPY_KZN_94,Eurytomidae sp.?,"South Africa, Mkuze, KZN",-27.62214,32.02467,Sporobolus pyramidalis,Guy Sutton,2017,
,SPY_MPA_095,Eurytomidae sp.?,"Imvelo Forest, White River, MP",-25.2168,30.9973,Sporobolus pyramidalis,Guy Sutton,2017,
MT549844,SPY_LMP_032,Tetramesa sp. 1,"South Africa, Nylsvlei, LMP",-24.576,28.64316,Sporobolus pyramidalis,Guy Sutton,2017,
,KCP-2020-00012,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,22/11/2020,female
,KCP-2020-00019,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.3951,27.26174,Eragrostis curvula,Kim Canavan,24/11/2020,female
,KCP-2020-00032,Tetramesa_sp5,"South Africa, Rietspruit area, Free State",-28.3951,27.26174,Eragrostis curvula,Kim Canavan,25/11/2020,male
,KCP-2020-00033,Tetramesa_sp5,"South Africa, Rietspruit area, Free State",-28.3951,27.26174,Eragrostis curvula,Kim Canavan,25/11/2020,female
,KCP-2020-00036,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.4524,27.33177,Eragrostis curvula,Kim Canavan,26/11/2020,female
,KCP-2020-00037,Tetramesa_sp5,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,27/11/2020,male
,KCP-2020-00039,Tetramesa_sp5,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,27/11/2020,male
,KCP-2020-00040,Tetramesa_planaA,"South Africa, Rietspruit area, Free State",-28.45136,27.33518,Eragrostis plana,Kim Canavan,27/11/2020,male
,KCP-2020-00041,Tetramesa_sp5,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,27/11/2020,male
,KCP-2020-00044,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.4524,27.33177,Eragrostis curvula,Kim Canavan,27/11/2020,female
,KCP-2020-00045,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.4524,27.33177,Eragrostis curvula,Kim Canavan,28/11/2020,male
,KCP-2020-00047,Tetramesa_planaA,"South Africa, Rietspruit area, Free State",-28.45136,27.33518,Eragrostis plana,Kim Canavan,27/11/2020,male
,KCP-2020-00048,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,27/11/2020,male
,KCP-2020-00050,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,27/11/2020,male
,KCP-2020-00051,Tetramesa_sp5,"South Africa, Rietspruit area, Free State",-28.452,27.33299,Eragrostis curvula,Kim Canavan,27/11/2020,male
,KCP-2020-00052,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.4524,27.33177,Eragrostis curvula,Kim Canavan,27/11/2020,female
,KCP-2020-00054,Tetramesa_planaA,"South Africa, Rietspruit area, Free State",-28.45136,27.33518,Eragrostis plana,Kim Canavan,30/11/2020,female
,KCP-2020-00055,Tetramesa_sp4,"South Africa, Rietspruit area, Free State",-28.3951,27.26174,Eragrostis curvula,Kim Canavan,30/11/2020,female
,KCP-2020-00056,Tetramesa_planaA,"South Africa, Rietspruit area, Free State",-28.45136,27.33518,Eragrostis plana,Kim Canavan,30/11/2020,male
